,areacode_s,areaname_s,garea_large.areacode_l,garea_large.areaname_l,garea_middle.areacode_m,garea_middle.areaname_m,pref.pref_code,pref.pref_name
476,AREAS2613,その他高崎,AREAL2601,高崎,AREAM2612,高崎,PREF10,群馬県
477,AREAS2954,前橋駅周辺,AREAL2607,前橋,AREAM3061,前橋,PREF10,群馬県
478,AREAS3060,新前橋駅周辺,AREAL2607,前橋,AREAM3061,前橋,PREF10,群馬県
479,AREAS3061,その他前橋,AREAL2607,前橋,AREAM3061,前橋,PREF10,群馬県
480,AREAS2615,桐生・みどり市,AREAL2606,桐生・みどり市,AREAM2615,桐生・みどり市,PREF10,群馬県
481,AREAS3062,南一番街,AREAL2608,太田・館林・大泉,AREAM3062,太田,PREF10,群馬県
482,AREAS3063,その他太田,AREAL2608,太田・館林・大泉,AREAM3062,太田,PREF10,群馬県
483,AREAS2955,館林・大泉・明和,AREAL2608,太田・館林・大泉,AREAM2616,館林・大泉・明和,PREF10,群馬県
484,AREAS2602,草津,AREAL2600,草津・東吾妻・嬬恋,AREAM2602,草津,PREF10,群馬県
485,AREAS2603,東吾妻・中之条・高山,AREAL2600,草津・東吾妻・嬬恋,AREAM2603,東吾妻・中之条・高山,PREF10,群馬県
486,AREAS2604,嬬恋・長野原,AREAL2600,草津・東吾妻・嬬恋,AREAM2604,嬬恋・長野原,PREF10,群馬県
487,AREAS2605,沼田・片品・昭和村,AREAL2602,沼田・みなかみ・片品,AREAM2605,沼田・みなかみ・片品,PREF10,群馬県
488,AREAS2606,みなかみ,AREAL2602,沼田・みなかみ・片品,AREAM2605,沼田・みなかみ・片品,PREF10,群馬県
489,AREAS2713,オリオン通り・バンバ通り・東武宇都宮駅,AREAL2700,宇都宮,AREAM3063,宇都宮,PREF09,栃木県
490,AREAS2702,宇都宮駅周辺,AREAL2700,宇都宮,AREAM3063,宇都宮,PREF09,栃木県
491,AREAS2703,宇都宮東,AREAL2700,宇都宮,AREAM3063,宇都宮,PREF09,栃木県
492,AREAS2701,宇都宮西,AREAL2700,宇都宮,AREAM3063,宇都宮,PREF09,栃木県
493,AREAS2716,上三川,AREAL2700,宇都宮,AREAM3063,宇都宮,PREF09,栃木県
494,AREAS2712,小山駅周辺,AREAL2703,小山・下野,AREAM2712,小山・下野,PREF09,栃木県
495,AREAS2727,その他小山・下野,AREAL2703,小山・下野,AREAM2712,小山・下野,PREF09,栃木県
496,AREAS2717,真岡,AREAL2704,真岡・益子・芳賀,AREAM2717,真岡,PREF09,栃木県
497,AREAS2718,益子・市貝・芳賀,AREAL2704,真岡・益子・芳賀,AREAM2718,益子・市貝・芳賀,PREF09,栃木県
498,AREAS2719,鹿沼,AREAL2705,鹿沼・栃木市・壬生,AREAM2719,鹿沼,PREF09,栃木県
499,AREAS2714,栃木市・壬生,AREAL2705,鹿沼・栃木市・壬生,AREAM3066,栃木市・壬生,PREF09,栃木県
500,AREAS2956,佐野,AREAL2701,佐野,AREAM3064,佐野,PREF09,栃木県
501,AREAS2957,足利,AREAL2706,足利,AREAM3065,足利,PREF09,栃木県
502,AREAS2724,日光,AREAL2702,日光・鬼怒川,AREAM2722,日光,PREF09,栃木県
503,AREAS2958,鬼怒川,AREAL2702,日光・鬼怒川,AREAM3068,鬼怒川,PREF09,栃木県
504,AREAS2720,さくら市・高根沢,AREAL2707,さくら市・高根沢,AREAM2720,さくら市・高根沢,PREF09,栃木県
505,AREAS2721,那須烏山・那珂川,AREAL2708,那須烏山・那珂川,AREAM2721,那須烏山・那珂川,PREF09,栃木県
506,AREAS2722,那須塩原・塩原温泉,AREAL2709,那須塩原・大田原・矢板,AREAM3067,那須塩原・塩原温泉,PREF09,栃木県
507,AREAS2723,黒磯,AREAL2709,那須塩原・大田原・矢板,AREAM2723,黒磯,PREF09,栃木県
508,AREAS2728,那須町・那須高原,AREAL2709,那須塩原・大田原・矢板,AREAM2724,那須町・那須高原,PREF09,栃木県
509,AREAS2725,大田原,AREAL2709,那須塩原・大田原・矢板,AREAM2725,大田原,PREF09,栃木県
510,AREAS2726,矢板・塩谷,AREAL2709,那須塩原・大田原・矢板,AREAM2726,矢板・塩谷,PREF09,栃木県
511,AREAS2815,大工町・泉町,AREAL2800,水戸,AREAM2812,水戸,PREF08,茨城県
512,AREAS2816,水戸駅南口,AREAL2800,水戸,AREAM2812,水戸,PREF08,茨城県
513,AREAS2812,水戸駅北口,AREAL2800,水戸,AREAM2812,水戸,PREF08,茨城県
514,AREAS2817,その他水戸,AREAL2800,水戸,AREAM2812,水戸,PREF08,茨城県
515,AREAS2804,笠間・城里,AREAL2804,笠間・大洗,AREAM2804,笠間・城里,PREF08,茨城県
516,AREAS2805,小美玉・茨城町,AREAL2804,笠間・大洗,AREAM2805,小美玉・茨城町,PREF08,茨城県
517,AREAS2806,大洗,AREAL2804,笠間・大洗,AREAM2806,大洗,PREF08,茨城県
518,AREAS2814,ひたちなか・勝田,AREAL2801,ひたちなか・日立・常陸大宮,AREAM3069,ひたちなか・勝田,PREF08,茨城県
519,AREAS2959,那珂・東海村,AREAL2801,ひたちなか・日立・常陸大宮,AREAM3070,那珂・東海村,PREF08,茨城県
520,AREAS2802,日立,AREAL2801,ひたちなか・日立・常陸大宮,AREAM2802,日立,PREF08,茨城県
521,AREAS2803,高萩・北茨城,AREAL2801,ひたちなか・日立・常陸大宮,AREAM2803,高萩・北茨城,PREF08,茨城県
522,AREAS2808,常陸太田,AREAL2801,ひたちなか・日立・常陸大宮,AREAM2808,常陸太田,PREF08,茨城県
523,AREAS2807,常陸大宮・大子,AREAL2801,ひたちなか・日立・常陸大宮,AREAM2807,常陸大宮・大子,PREF08,茨城県
524,AREAS2824,古河,AREAL2806,県西地域,AREAM3073,古河,PREF08,茨城県
525,AREAS2962,筑西・結城・桜川,AREAL2806,県西地域,AREAM3074,筑西・結城・桜川,PREF08,茨城県
526,AREAS2811,下妻・坂東・常総,AREAL2806,県西地域,AREAM2811,下妻・坂東・常総,PREF08,茨城県
527,AREAS2832,鹿嶋・潮来,AREAL2803,鹿行地域,AREAM2832,鹿嶋・潮来,PREF08,茨城県
528,AREAS2813,鉾田・行方,AREAL2803,鹿行地域,AREAM2813,鉾田・行方,PREF08,茨城県
529,AREAS6622,三条市・燕三条・加茂,AREAL6607,燕市・三条市,AREAM6624,三条市・燕三条・加茂,PREF15,新潟県
530,AREAS6626,長岡駅周辺,AREAL6602,長岡・見附・小千谷,AREAM6622,長岡,PREF15,新潟県
531,AREAS6628,燕市・弥彦,AREAL6607,燕市・三条市,AREAM6606,燕市・弥彦,PREF15,新潟県
532,AREAS6627,その他長岡,AREAL6602,長岡・見附・小千谷,AREAM6622,長岡,PREF15,新潟県
533,AREAS6625,見附,AREAL6602,長岡・見附・小千谷,AREAM6625,見附,PREF15,新潟県
534,AREAS6623,小千谷,AREAL6602,長岡・見附・小千谷,AREAM6623,小千谷,PREF15,新潟県
535,AREAS6602,古町,AREAL6600,新潟市,AREAM6602,新潟市中央区,PREF15,新潟県
536,AREAS6604,新潟駅前,AREAL6600,新潟市,AREAM6602,新潟市中央区,PREF15,新潟県
537,AREAS6603,万代,AREAL6600,新潟市,AREAM6602,新潟市中央区,PREF15,新潟県
538,AREAS6606,新潟駅南,AREAL6600,新潟市,AREAM6602,新潟市中央区,PREF15,新潟県
539,AREAS6601,新潟県庁前・出来島・鳥屋野潟周辺,AREAL6600,新潟市,AREAM6602,新潟市中央区,PREF15,新潟県
540,AREAS6608,江南区,AREAL6600,新潟市,AREAM6601,新潟市江南区・秋葉区・南区,PREF15,新潟県
541,AREAS6609,秋葉区,AREAL6600,新潟市,AREAM6601,新潟市江南区・秋葉区・南区,PREF15,新潟県
542,AREAS6607,南区,AREAL6600,新潟市,AREAM6601,新潟市江南区・秋葉区・南区,PREF15,新潟県
543,AREAS6613,新潟大学前,AREAL6600,新潟市,AREAM6603,新潟市西区,PREF15,新潟県
544,AREAS6614,その他西区,AREAL6600,新潟市,AREAM6603,新潟市西区,PREF15,新潟県
545,AREAS6624,新潟市西蒲区,AREAL6600,新潟市,AREAM6604,新潟市西蒲区,PREF15,新潟県
546,AREAS6616,東区,AREAL6600,新潟市,AREAM6607,新潟市東区・北区,PREF15,新潟県
547,AREAS6617,北区,AREAL6600,新潟市,AREAM6607,新潟市東区・北区,PREF15,新潟県
548,AREAS6612,村上・関川,AREAL6604,村上・関川,AREAM6612,村上・関川,PREF15,新潟県
549,AREAS6807,新発田・胎内,AREAL6601,新発田・胎内,AREAM6925,新発田・胎内,PREF15,新潟県
550,AREAS6605,五泉・阿賀野・阿賀,AREAL6605,五泉・阿賀野・阿賀,AREAM6605,五泉・阿賀野・阿賀,PREF15,新潟県
551,AREAS6618,魚沼,AREAL6608,魚沼,AREAM6608,魚沼,PREF15,新潟県
552,AREAS6619,十日町・津南,AREAL6609,十日町・津南,AREAM6609,十日町・津南,PREF15,新潟県
553,AREAS6610,南魚沼・湯沢,AREAL6610,南魚沼・湯沢,AREAM6610,南魚沼・湯沢,PREF15,新潟県
554,AREAS6808,柏崎,AREAL6611,柏崎,AREAM6926,柏崎,PREF15,新潟県
555,AREAS6615,糸魚川,AREAL6615,糸魚川,AREAM6615,糸魚川,PREF15,新潟県
556,AREAS6629,仲町通り,AREAL6613,上越市,AREAM6632,上越市,PREF15,新潟県
557,AREAS6630,その他上越市,AREAL6613,上越市,AREAM6632,上越市,PREF15,新潟県
558,AREAS6632,妙高,AREAL6614,妙高,AREAM6614,妙高,PREF15,新潟県
559,AREAS6642,佐渡,AREAL6603,佐渡,AREAM6642,佐渡,PREF15,新潟県
560,AREAS6701,総曲輪・西町・グランドプラザ前,AREAL6700,富山市,AREAM6702,富山市,PREF16,富山県
561,AREAS6707,電気ビル前・桜木町,AREAL6700,富山市,AREAM6702,富山市,PREF16,富山県
562,AREAS6702,富山駅周辺・新富町,AREAL6700,富山市,AREAM6702,富山市,PREF16,富山県
563,AREAS6708,その他富山市,AREAL6700,富山市,AREAM6702,富山市,PREF16,富山県
564,AREAS6703,立山・上市,AREAL6703,立山・上市,AREAM6703,立山・上市,PREF16,富山県
565,AREAS6710,魚津駅周辺,AREAL6701,滑川・魚津・黒部,AREAM6711,滑川・魚津,PREF16,富山県
566,AREAS6711,その他滑川・魚津,AREAL6701,滑川・魚津・黒部,AREAM6711,滑川・魚津,PREF16,富山県
567,AREAS6712,黒部・入善・朝日町,AREAL6701,滑川・魚津・黒部,AREAM6712,黒部・入善・朝日町,PREF16,富山県
568,AREAS6722,高岡駅周辺,AREAL6702,高岡,AREAM6722,高岡,PREF16,富山県
569,AREAS6723,その他高岡,AREAL6702,高岡,AREAM6722,高岡,PREF16,富山県
570,AREAS6704,砺波・南砺,AREAL6704,砺波・南砺,AREAM6704,砺波・南砺,PREF16,富山県
571,AREAS6705,射水,AREAL6705,射水,AREAM6705,射水,PREF16,富山県
572,AREAS6706,小矢部,AREAL6706,小矢部,AREAM6706,小矢部,PREF16,富山県
573,AREAS6809,氷見,AREAL6707,氷見,AREAM6927,氷見,PREF16,富山県
574,AREAS6802,香林坊・片町・金沢21世紀美術館,AREAL6800,金沢・野々市・かほく,AREAM6930,金沢,PREF17,石川県
575,AREAS6801,小立野・杜の里・石引,AREAL6800,金沢・野々市・かほく,AREAM6930,金沢,PREF17,石川県
576,AREAS6803,兼六園・金沢城公園・ひがし茶屋街,AREAL6800,金沢・野々市・かほく,AREAM6930,金沢,PREF17,石川県
577,AREAS6811,金沢駅東口・近江町市場,AREAL6800,金沢・野々市・かほく,AREAM6930,金沢,PREF17,石川県
578,AREAS6804,金沢駅西口・石川県庁,AREAL6800,金沢・野々市・かほく,AREAM6930,金沢,PREF17,石川県
579,AREAS6813,その他金沢,AREAL6800,金沢・野々市・かほく,AREAM6930,金沢,PREF17,石川県
580,AREAS6806,野々市,AREAL6800,金沢・野々市・かほく,AREAM6806,野々市,PREF17,石川県
581,AREAS6805,かほく・津幡・内灘,AREAL6800,金沢・野々市・かほく,AREAM6805,かほく・津幡・内灘,PREF17,石川県
582,AREAS6822,七尾・和倉温泉・羽咋,AREAL6802,能登・和倉温泉・輪島,AREAM6822,七尾・和倉温泉・羽咋,PREF17,石川県
583,AREAS6832,輪島・珠洲・穴水,AREAL6802,能登・和倉温泉・輪島,AREAM6832,輪島・珠洲・穴水,PREF17,石川県
584,AREAS6812,加賀・山中温泉・山代温泉,AREAL6801,加賀・小松・白山,AREAM6812,加賀・小松,PREF17,石川県
585,AREAS6852,小松・粟津温泉,AREAL6801,加賀・小松・白山,AREAM6812,加賀・小松,PREF17,石川県
586,AREAS6842,白山・松任,AREAL6801,加賀・小松・白山,AREAM6842,白山・松任,PREF17,石川県
587,AREAS6901,順化・福井片町,AREAL6900,福井市,AREAM6902,福井市,PREF18,福井県
588,AREAS6902,福井駅,AREAL6900,福井市,AREAM6902,福井市,PREF18,福井県
589,AREAS6903,その他福井市,AREAL6900,福井市,AREAM6902,福井市,PREF18,福井県
590,AREAS6913,勝山,AREAL6903,奥越,AREAM6913,勝山,PREF18,福井県
591,AREAS6914,大野,AREAL6903,奥越,AREAM6914,大野,PREF18,福井県
592,AREAS6932,坂井・あわら・永平寺,AREAL6904,坂井・あわら・永平寺,AREAM6912,坂井・あわら・永平寺,PREF18,福井県
593,AREAS6912,鯖江・越前町,AREAL6901,鯖江・越前市・南越前,AREAM6917,鯖江・越前町,PREF18,福井県
594,AREAS6916,越前市,AREAL6901,鯖江・越前市・南越前,AREAM6916,越前市,PREF18,福井県
595,AREAS6915,南越前・池田町,AREAL6901,鯖江・越前市・南越前,AREAM6915,南越前・池田町,PREF18,福井県
596,AREAS6922,敦賀・若狭・美浜,AREAL6902,敦賀・若狭・美浜,AREAM6922,敦賀・若狭・美浜,PREF18,福井県
597,AREAS6810,小浜,AREAL6905,小浜,AREAM6928,小浜,PREF18,福井県
598,AREAS4105,名駅1・2・3丁目,AREAL4102,名古屋駅,AREAM4102,名駅,PREF23,愛知県
599,AREAS4106,名駅西口,AREAL4102,名古屋駅,AREAM4102,名駅,PREF23,愛知県
600,AREAS4107,名駅4・5丁目,AREAL4102,名古屋駅,AREAM4102,名駅,PREF23,愛知県
601,AREAS4262,守山区,AREAL4262,大曽根・北区・西区,AREAM4262,守山区,PREF23,愛知県
602,AREAS4264,北区,AREAL4262,大曽根・北区・西区,AREAM4264,北区,PREF23,愛知県
603,AREAS4265,大曽根,AREAL4262,大曽根・北区・西区,AREAM4837,大曽根,PREF23,愛知県
604,AREAS4266,西区,AREAL4262,大曽根・北区・西区,AREAM4266,西区,PREF23,愛知県
605,AREAS4302,一宮,AREAL4301,一宮・江南,AREAM4302,一宮,PREF23,愛知県
606,AREAS4303,小牧,AREAL4302,春日井・小牧,AREAM4303,小牧,PREF23,愛知県
607,AREAS4842,江南,AREAL4301,一宮・江南,AREAM4841,江南,PREF23,愛知県
608,AREAS4843,春日井,AREAL4302,春日井・小牧,AREAM4842,春日井,PREF23,愛知県
609,AREAS4844,犬山,AREAL4302,春日井・小牧,AREAM4843,犬山,PREF23,愛知県
610,AREAS4868,その他浜松市,AREAL4832,浜松・浜名湖,AREAM4877,その他浜松市,PREF22,静岡県
611,AREAS4871,初生・高丘周辺,AREAL4832,浜松・浜名湖,AREAM4875,初生・高丘周辺,PREF22,静岡県
612,AREAS4872,幸・住吉・上島周辺,AREAL4832,浜松・浜名湖,AREAM4876,幸・住吉・上島周辺,PREF22,静岡県
613,AREAS4869,肴町・浜松第一通り・田町,AREAL4832,浜松・浜名湖,AREAM4836,浜松駅周辺,PREF22,静岡県
614,AREAS4836,浜松駅南・千歳町・鍛冶町,AREAL4832,浜松・浜名湖,AREAM4836,浜松駅周辺,PREF22,静岡県
615,AREAS4870,浜北,AREAL4832,浜松・浜名湖,AREAM4874,浜北,PREF22,静岡県
616,AREAS4108,その他の中村区,AREAL4102,名古屋駅,AREAM4108,その他の中村区,PREF23,愛知県
617,AREAS4873,浜松市天竜区,AREAL4832,浜松・浜名湖,AREAM4835,浜松市天竜区,PREF22,静岡県
618,AREAS4837,浜名湖・湖西,AREAL4832,浜松・浜名湖,AREAM4868,浜名湖・湖西,PREF22,静岡県
619,AREAS4122,錦3丁目,AREAL4122,栄周辺,AREAM4122,栄周辺,PREF23,愛知県
620,AREAS4124,住吉通・ナディアパーク,AREAL4122,栄周辺,AREAM4122,栄周辺,PREF23,愛知県
621,AREAS4126,芸文センター・NHK,AREAL4122,栄周辺,AREAM4122,栄周辺,PREF23,愛知県
622,AREAS4128,中日ビル・池田公園,AREAL4122,栄周辺,AREAM4122,栄周辺,PREF23,愛知県
623,AREAS4142,丸の内・市役所,AREAL4142,（名古屋）伏見・丸の内,AREAM4142,丸の内・市役所,PREF23,愛知県
624,AREAS4144,伏見ミナミ,AREAL4142,（名古屋）伏見・丸の内,AREAM4144,（名古屋）伏見,PREF23,愛知県
625,AREAS4146,伏見キタ,AREAL4142,（名古屋）伏見・丸の内,AREAM4144,（名古屋）伏見,PREF23,愛知県
626,AREAS4162,新栄・CBC,AREAL4162,新栄・CBC・東区,AREAM4162,新栄・CBC,PREF23,愛知県
627,AREAS4166,白壁・東区役所,AREAL4162,新栄・CBC・東区,AREAM4166,白壁・東区役所,PREF23,愛知県
628,AREAS4182,金山・東別院,AREAL4182,金山・大須・熱田区,AREAM4182,金山・東別院,PREF23,愛知県
629,AREAS4184,大須・上前津・鶴舞,AREAL4182,金山・大須・熱田区,AREAM4184,大須・上前津・鶴舞,PREF23,愛知県
630,AREAS4186,熱田区,AREAL4182,金山・大須・熱田区,AREAM4186,熱田区,PREF23,愛知県
631,AREAS4202,千種・今池・池下,AREAL4202,千種区・名東区,AREAM4202,千種・今池・池下,PREF23,愛知県
632,AREAS4204,覚王山・東山公園,AREAL4202,千種区・名東区,AREAM4204,覚王山・東山公園,PREF23,愛知県
633,AREAS4206,星ヶ丘・一社,AREAL4202,千種区・名東区,AREAM4206,星ヶ丘・一社,PREF23,愛知県
634,AREAS4208,名東区・藤が丘,AREAL4202,千種区・名東区,AREAM4208,名東区・藤が丘,PREF23,愛知県
635,AREAS4222,天白区,AREAL4222,昭和区・瑞穂区・天白区,AREAM4222,天白区,PREF23,愛知県
636,AREAS4224,瑞穂区,AREAL4222,昭和区・瑞穂区・天白区,AREAM4224,瑞穂区,PREF23,愛知県
637,AREAS4226,昭和区,AREAL4222,昭和区・瑞穂区・天白区,AREAM4226,昭和区,PREF23,愛知県
638,AREAS4242,中川区,AREAL4242,中川区・港区・南区・緑区,AREAM4242,中川区,PREF23,愛知県
639,AREAS4244,緑区,AREAL4242,中川区・港区・南区・緑区,AREAM4244,緑区,PREF23,愛知県
640,AREAS4246,港区,AREAL4242,中川区・港区・南区・緑区,AREAM4246,港区,PREF23,愛知県
641,AREAS4248,南区,AREAL4242,中川区・港区・南区・緑区,AREAM4248,南区,PREF23,愛知県
642,AREAS4272,豊田,AREAL4271,豊田,AREAM4272,豊田,PREF23,愛知県
643,AREAS4839,岡崎,AREAL4272,岡崎・刈谷・安城,AREAM4838,岡崎,PREF23,愛知県
644,AREAS4274,刈谷,AREAL4272,岡崎・刈谷・安城,AREAM4274,刈谷,PREF23,愛知県
645,AREAS4840,安城,AREAL4272,岡崎・刈谷・安城,AREAM4839,安城,PREF23,愛知県
646,AREAS4841,西三河,AREAL4272,岡崎・刈谷・安城,AREAM4840,西三河,PREF23,愛知県
647,AREAS4845,尾張旭,AREAL4304,尾張・長久手・日進,AREAM4844,尾張旭,PREF23,愛知県
648,AREAS4304,長久手・日進,AREAL4304,尾張・長久手・日進,AREAM4304,長久手・日進,PREF23,愛知県
649,AREAS4846,稲沢,AREAL4306,稲沢・津島・あま市,AREAM4845,稲沢,PREF23,愛知県
650,AREAS4306,津島・あま市,AREAL4306,稲沢・津島・あま市,AREAM4306,津島・あま市,PREF23,愛知県
651,AREAS4312,大府・東海,AREAL4312,大府・東海・知多半島,AREAM4312,大府・東海,PREF23,愛知県
652,AREAS4847,常滑・知多半島,AREAL4312,大府・東海・知多半島,AREAM4846,常滑・知多半島,PREF23,愛知県
653,AREAS4848,半田,AREAL4312,大府・東海・知多半島,AREAM4847,半田,PREF23,愛知県
654,AREAS4322,蒲郡・東三河,AREAL4322,蒲郡・東三河・豊橋,AREAM4322,蒲郡・東三河,PREF23,愛知県
655,AREAS4288,豊橋,AREAL4322,蒲郡・東三河・豊橋,AREAM4288,豊橋,PREF23,愛知県
656,AREAS4513,柳ヶ瀬,AREAL4500,岐阜市,AREAM4502,岐阜市,PREF21,岐阜県
657,AREAS4502,JR岐阜駅・名鉄岐阜駅周辺,AREAL4500,岐阜市,AREAM4502,岐阜市,PREF21,岐阜県
658,AREAS4514,その他岐阜市,AREAL4500,岐阜市,AREAM4502,岐阜市,PREF21,岐阜県
659,AREAS4504,各務原,AREAL4501,各務原・大垣・羽島,AREAM4504,各務原,PREF21,岐阜県
660,AREAS4506,大垣・海津,AREAL4501,各務原・大垣・羽島,AREAM4506,大垣・海津,PREF21,岐阜県
661,AREAS4503,羽島,AREAL4501,各務原・大垣・羽島,AREAM4503,羽島,PREF21,岐阜県
662,AREAS4505,本巣・池田・揖斐川,AREAL4501,各務原・大垣・羽島,AREAM4505,本巣・池田・揖斐川,PREF21,岐阜県
663,AREAS4507,可児・美濃加茂・白川,AREAL4504,可児・美濃加茂・関,AREAM4507,可児・美濃加茂・白川,PREF21,岐阜県
664,AREAS4512,関・美濃,AREAL4504,可児・美濃加茂・関,AREAM4512,関・美濃,PREF21,岐阜県
665,AREAS4508,郡上,AREAL4504,可児・美濃加茂・関,AREAM4508,郡上,PREF21,岐阜県
666,AREAS4510,多治見,AREAL4502,多治見・瑞浪・中津川,AREAM4510,多治見,PREF21,岐阜県
667,AREAS4511,瑞浪,AREAL4502,多治見・瑞浪・中津川,AREAM4511,瑞浪,PREF21,岐阜県
668,AREAS4509,中津川・恵那,AREAL4502,多治見・瑞浪・中津川,AREAM4509,中津川・恵那,PREF21,岐阜県
669,AREAS4522,飛騨・高山,AREAL4503,飛騨・高山,AREAM4522,飛騨・高山,PREF21,岐阜県
670,AREAS4849,下呂,AREAL4505,下呂,AREAM4848,下呂,PREF21,岐阜県
671,AREAS4602,近鉄四日市駅周辺,AREAL4600,四日市,AREAM4602,四日市,PREF24,三重県
672,AREAS4613,四日市南部,AREAL4600,四日市,AREAM4602,四日市,PREF24,三重県
673,AREAS4614,四日市北部,AREAL4600,四日市,AREAM4602,四日市,PREF24,三重県
674,AREAS4615,菰野・四日市西部,AREAL4600,四日市,AREAM4602,四日市,PREF24,三重県
675,AREAS4850,桑名・いなべ,AREAL4602,桑名・いなべ,AREAM4849,桑名・いなべ,PREF24,三重県
676,AREAS4851,鈴鹿,AREAL4603,鈴鹿,AREAM4850,鈴鹿,PREF24,三重県
677,AREAS4605,亀山,AREAL4605,亀山・伊賀・名張,AREAM4605,亀山,PREF24,三重県
678,AREAS4609,伊賀,AREAL4605,亀山・伊賀・名張,AREAM4609,伊賀,PREF24,三重県
679,AREAS4610,名張,AREAL4605,亀山・伊賀・名張,AREAM4610,名張,PREF24,三重県
680,AREAS4604,津,AREAL4604,津・松阪,AREAM4604,津,PREF24,三重県
681,AREAS4608,松阪,AREAL4604,津・松阪,AREAM4608,松阪,PREF24,三重県
682,AREAS4611,明和・玉城,AREAL4601,伊勢・鳥羽・志摩,AREAM4611,明和・玉城,PREF24,三重県
683,AREAS4612,伊勢,AREAL4601,伊勢・鳥羽・志摩,AREAM4612,伊勢,PREF24,三重県
684,AREAS4853,鳥羽・志摩,AREAL4601,伊勢・鳥羽・志摩,AREAM4852,鳥羽・志摩,PREF24,三重県
685,AREAS4607,熊野・御浜・紀宝,AREAL4606,熊野・尾鷲・大紀,AREAM4607,熊野・御浜・紀宝,PREF24,三重県
686,AREAS4606,尾鷲・大紀・大台,AREAL4606,熊野・尾鷲・大紀,AREAM4606,尾鷲・大紀・大台,PREF24,三重県
687,AREAS4717,権堂町,AREAL4700,長野・須坂・信濃,AREAM4702,長野市,PREF20,長野県
688,AREAS4702,長野駅周辺,AREAL4700,長野・須坂・信濃,AREAM4702,長野市,PREF20,長野県
689,AREAS4716,その他長野市,AREAL4700,長野・須坂・信濃,AREAM4702,長野市,PREF20,長野県
690,AREAS4703,須坂・小布施,AREAL4700,長野・須坂・信濃,AREAM4703,須坂・小布施,PREF20,長野県
691,AREAS4701,信濃・飯綱,AREAL4700,長野・須坂・信濃,AREAM4701,信濃・飯綱,PREF20,長野県
692,AREAS4704,千曲・坂城,AREAL4704,千曲・坂城,AREAM4704,千曲・坂城,PREF20,長野県
693,AREAS4854,飯山・中野・志賀高原,AREAL4705,飯山・中野・志賀高原,AREAM4853,飯山・中野・志賀高原,PREF20,長野県
694,AREAS4732,軽井沢,AREAL4732,軽井沢,AREAM4732,軽井沢,PREF20,長野県
695,AREAS4707,小諸・御代田,AREAL4707,小諸・御代田,AREAM4707,小諸・御代田,PREF20,長野県
696,AREAS4855,上田・東御・長和,AREAL4701,上田・東御・長和,AREAM4854,上田・東御・長和,PREF20,長野県
697,AREAS4856,佐久・小海・川上,AREAL4708,佐久・小海・川上,AREAM4855,佐久・小海・川上,PREF20,長野県
698,AREAS4712,松本駅周辺,AREAL4702,松本,AREAM4712,松本,PREF20,長野県
699,AREAS4719,南松本,AREAL4702,松本,AREAM4712,松本,PREF20,長野県
700,AREAS4718,その他松本,AREAL4702,松本,AREAM4712,松本,PREF20,長野県
701,AREAS4709,白馬・大町,AREAL4709,白馬・大町,AREAM4709,白馬・大町,PREF20,長野県
702,AREAS4710,安曇野・筑北,AREAL4710,安曇野・筑北,AREAM4710,安曇野・筑北,PREF20,長野県
703,AREAS4711,塩尻・山形村,AREAL4711,塩尻・山形村,AREAM4711,塩尻・山形村,PREF20,長野県
704,AREAS4708,木曽・大桑・南木曽,AREAL4712,木曽・大桑・南木曽,AREAM4708,木曽・大桑・南木曽,PREF20,長野県
705,AREAS4722,岡谷・諏訪・茅野,AREAL4703,岡谷・諏訪・茅野,AREAM4722,岡谷・諏訪・茅野,PREF20,長野県
706,AREAS4713,伊那・箕輪・辰野,AREAL4713,伊那・箕輪・辰野,AREAM4713,伊那・箕輪・辰野,PREF20,長野県
707,AREAS4714,駒ケ根・飯島・中川,AREAL4714,駒ケ根・飯島・中川,AREAM4714,駒ケ根・飯島・中川,PREF20,長野県
708,AREAS4715,飯田・大鹿・根羽,AREAL4715,飯田・大鹿・根羽,AREAM4715,飯田・大鹿・根羽,PREF20,長野県
709,AREAS4762,甲府駅・県庁・市役所周辺,AREAL4751,甲府,AREAM4762,甲府,PREF19,山梨県
710,AREAS4767,その他甲府,AREAL4751,甲府,AREAM4762,甲府,PREF19,山梨県
711,AREAS4763,甲州,AREAL4752,甲州・山梨市・笛吹,AREAM4763,甲州・山梨市・笛吹,PREF19,山梨県
712,AREAS4768,山梨市・笛吹,AREAL4752,甲州・山梨市・笛吹,AREAM4763,甲州・山梨市・笛吹,PREF19,山梨県
713,AREAS4766,早川・身延・南部町,AREAL4753,早川・身延・南部町,AREAM4766,早川・身延・南部町,PREF19,山梨県
714,AREAS4771,北杜,AREAL4754,甲斐・韮崎・南アルプス,AREAM4764,甲斐・韮崎・南アルプス,PREF19,山梨県
715,AREAS4770,韮崎,AREAL4754,甲斐・韮崎・南アルプス,AREAM4764,甲斐・韮崎・南アルプス,PREF19,山梨県
716,AREAS4764,甲斐・昭和町・中央市,AREAL4754,甲斐・韮崎・南アルプス,AREAM4764,甲斐・韮崎・南アルプス,PREF19,山梨県
717,AREAS4769,南アルプス,AREAL4754,甲斐・韮崎・南アルプス,AREAM4764,甲斐・韮崎・南アルプス,PREF19,山梨県
